ano,media_agua,media_esgoto,media_saneamento_geral
2022,0.8503,0.5631,0.7067
2021,0.8435,0.5613,0.7024
2020,0.8413,0.5527,0.697
2019,0.8388,0.5443,0.6915
2018,0.8377,0.5346,0.6861
2017,0.8361,0.5268,0.6815
2016,0.8354,0.522,0.6787
2015,0.8339,0.5054,0.6697
2014,0.8293,0.5008,0.665
2013,0.8255,0.4905,0.658
2012,0.8283,0.4871,0.6577
2011,0.8262,0.4773,0.6517
2010,0.8103,0.4581,0.6342
2009,0.8149,0.4331,0.624
2008,0.8104,0.4178,0.6141
2007,0.8029,0.4095,0.6062
2006,0.7857,0.3957,0.5907
2005,0.7693,0.3873,0.5783
2004,0.7444,0.3742,0.5593
2003,0.7183,0.3656,0.542
2002,0.6916,0.3594,0.5255
2001,0.6501,0.3526,0.5013
2000,0.6263,0.3535,0.4899
1999,0.5713,0.3309,0.4511
1998,0.5636,0.2836,0.4236
1997,0.8554,0.4965,0.676
1996,0.8934,0.4826,0.688
1995,0.2396,0.1935,0.2166